num_features_rm,run_num,feature,importance,rank
0,0,jobs_density,0.005994824,1
0,0,pop_density,0.002729128,2
0,0,instit_communal_accom,0.002545849,3
0,0,naptan_density,0.000795565,4
0,0,caz,0.000747247,5
0,0,btwn_centrality,0.000650282,6
0,0,leisure_recreational_bldg,0.000301272,7
0,0,deg_centrality,0.00027825,8
0,0,retail,-0.0001157,9
0,0,offices,-0.000382416,10
0,0,inner,-0.00041241,11
0,0,community_bldg,-0.000590903,12
0,0,residential,-0.000749971,13
0,0,storage_and_warehousing,-0.00119556,14
0,0,industry,-0.001590043,15
0,1,instit_communal_accom,0.005501156,1
0,1,btwn_centrality,0.004993051,2
0,1,deg_centrality,0.004693478,3
0,1,pop_density,0.002377663,4
0,1,jobs_density,0.002351642,5
0,1,naptan_density,0.001550972,6
0,1,storage_and_warehousing,0.000950212,7
0,1,residential,0.00092356,8
0,1,retail,0.000906893,9
0,1,offices,0.000792388,10
0,1,community_bldg,0.000464651,11
0,1,caz,0.000311937,12
0,1,inner,0.000142157,13
0,1,leisure_recreational_bldg,-0.000336746,14
0,1,industry,-0.000550178,15
0,2,jobs_density,0.004136957,1
0,2,pop_density,0.003500228,2
0,2,instit_communal_accom,0.001335887,3
0,2,deg_centrality,0.001064511,4
0,2,residential,0.000861753,5
0,2,naptan_density,0.000167086,6
0,2,community_bldg,0.000147416,7
0,2,retail,3.01E-05,8
0,2,storage_and_warehousing,-0.000308807,9
0,2,leisure_recreational_bldg,-0.000327962,10
0,2,btwn_centrality,-0.000406399,11
0,2,offices,-0.000887301,12
0,2,inner,-0.001046998,13
0,2,caz,-0.00118343,14
0,2,industry,-0.001225553,15
0,3,deg_centrality,0.00435399,1
0,3,jobs_density,0.004230067,2
0,3,naptan_density,0.003061274,3
0,3,pop_density,0.00303725,4
0,3,btwn_centrality,0.002148329,5
0,3,residential,0.001578371,6
0,3,retail,0.001454286,7
0,3,instit_communal_accom,0.001066541,8
0,3,offices,0.000719149,9
0,3,inner,0.000657819,10
0,3,community_bldg,0.000492399,11
0,3,leisure_recreational_bldg,0.000367093,12
0,3,caz,0.000280626,13
0,3,storage_and_warehousing,0.000263705,14
0,3,industry,-6.06E-05,15
0,4,instit_communal_accom,0.003313771,1
0,4,deg_centrality,0.003186137,2
0,4,naptan_density,0.001997386,3
0,4,btwn_centrality,0.001152291,4
0,4,pop_density,0.000569971,5
0,4,caz,6.24E-05,6
0,4,offices,-4.52E-06,7
0,4,jobs_density,-8.43E-05,8
0,4,retail,-0.000137905,9
0,4,inner,-0.000306535,10
0,4,storage_and_warehousing,-0.000581378,11
0,4,industry,-0.000655918,12
0,4,leisure_recreational_bldg,-0.000989103,13
0,4,residential,-0.001055921,14
0,4,community_bldg,-0.001111495,15
0,5,jobs_density,0.006026372,1
0,5,deg_centrality,0.001894608,2
0,5,pop_density,0.001846854,3
0,5,instit_communal_accom,0.001838277,4
0,5,btwn_centrality,0.001529085,5
0,5,residential,0.000418834,6
0,5,caz,0.00039754,7
0,5,inner,0.000368225,8
0,5,retail,0.000330018,9
0,5,offices,-0.00062337,10
0,5,storage_and_warehousing,-0.001115404,11
0,5,industry,-0.001425273,12
0,5,naptan_density,-0.00146976,13
0,5,leisure_recreational_bldg,-0.00159333,14
0,5,community_bldg,-0.001804956,15
0,6,deg_centrality,0.002976547,1
0,6,btwn_centrality,0.002016742,2
0,6,jobs_density,0.001991334,3
0,6,naptan_density,0.001608214,4
0,6,industry,0.00152208,5
0,6,offices,0.001128939,6
0,6,instit_communal_accom,0.000581933,7
0,6,retail,0.00017342,8
0,6,inner,6.77E-05,9
0,6,caz,-6.70E-05,10
0,6,storage_and_warehousing,-9.64E-05,11
0,6,leisure_recreational_bldg,-0.000270107,12
0,6,community_bldg,-0.00056348,13
0,6,residential,-0.000723234,14
0,6,pop_density,-0.000897677,15
0,7,jobs_density,0.0024423,1
0,7,btwn_centrality,0.002406312,2
0,7,pop_density,0.001416801,3
0,7,instit_communal_accom,0.001376082,4
0,7,deg_centrality,0.001105217,5
0,7,storage_and_warehousing,0.000357266,6
0,7,inner,0.000315157,7
0,7,retail,0.000241268,8
0,7,industry,2.90E-05,9
0,7,naptan_density,-3.81E-05,10
0,7,caz,-9.27E-05,11
0,7,offices,-0.000124846,12
0,7,community_bldg,-0.000261916,13
0,7,residential,-0.000321933,14
0,7,leisure_recreational_bldg,-0.000965463,15
0,8,jobs_density,0.003258143,1
0,8,btwn_centrality,0.002567983,2
0,8,instit_communal_accom,0.002203465,3
0,8,naptan_density,0.001724342,4
0,8,retail,0.001213542,5
0,8,industry,0.001190808,6
0,8,leisure_recreational_bldg,0.001158937,7
0,8,pop_density,0.001130124,8
0,8,deg_centrality,0.000687467,9
0,8,caz,0.000665523,10
0,8,offices,0.000195588,11
0,8,community_bldg,0.000161189,12
0,8,residential,0.000139561,13
0,8,inner,-5.97E-05,14
0,8,storage_and_warehousing,-0.000401628,15
0,9,deg_centrality,0.001893866,1
0,9,instit_communal_accom,0.001821443,2
0,9,jobs_density,0.001456706,3
0,9,pop_density,0.00119478,4
0,9,residential,0.000737688,5
0,9,naptan_density,0.000623145,6
0,9,community_bldg,-0.000568602,7
0,9,retail,-0.00073038,8
0,9,caz,-0.000864022,9
0,9,inner,-0.000982744,10
0,9,btwn_centrality,-0.001193167,11
0,9,storage_and_warehousing,-0.001486889,12
0,9,leisure_recreational_bldg,-0.001819231,13
0,9,offices,-0.001978955,14
0,9,industry,-0.002258058,15
0,10,jobs_density,0.002818841,1
0,10,btwn_centrality,0.002200656,2
0,10,pop_density,0.002113745,3
0,10,deg_centrality,0.001531788,4
0,10,instit_communal_accom,0.001168237,5
0,10,caz,0.000681091,6
0,10,inner,0.000379288,7
0,10,naptan_density,0.000330113,8
0,10,residential,-0.00020217,9
0,10,storage_and_warehousing,-0.000356601,10
0,10,retail,-0.000548194,11
0,10,industry,-0.000999501,12
0,10,leisure_recreational_bldg,-0.001398373,13
0,10,offices,-0.002000598,14
0,10,community_bldg,-0.002151828,15
0,11,deg_centrality,0.004590341,1
0,11,btwn_centrality,0.003364948,2
0,11,instit_communal_accom,0.002941011,3
0,11,naptan_density,0.002285899,4
0,11,pop_density,0.001939041,5
0,11,jobs_density,0.000547437,6
0,11,leisure_recreational_bldg,0.000326038,7
0,11,inner,0.000227176,8
0,11,residential,4.18E-05,9
0,11,caz,-0.000316912,10
0,11,retail,-0.000337765,11
0,11,storage_and_warehousing,-0.000731857,12
0,11,offices,-0.001209971,13
0,11,industry,-0.001920702,14
0,11,community_bldg,-0.001983182,15
0,12,deg_centrality,0.00367224,1
0,12,btwn_centrality,0.002177973,2
0,12,instit_communal_accom,0.001046955,3
0,12,jobs_density,0.000993951,4
0,12,pop_density,0.000974959,5
0,12,naptan_density,0.000759813,6
0,12,caz,0.00018741,7
0,12,storage_and_warehousing,-0.00026014,8
0,12,industry,-0.00043712,9
0,12,offices,-0.000570644,10
0,12,leisure_recreational_bldg,-0.000718481,11
0,12,community_bldg,-0.000843761,12
0,12,inner,-0.000958006,13
0,12,retail,-0.001047645,14
0,12,residential,-0.001315506,15
0,13,deg_centrality,0.004762866,1
0,13,instit_communal_accom,0.003488221,2
0,13,naptan_density,0.002382429,3
0,13,btwn_centrality,0.001823138,4
0,13,pop_density,0.000951655,5
0,13,residential,0.000488878,6
0,13,storage_and_warehousing,0.000330246,7
0,13,inner,-6.78E-05,8
0,13,jobs_density,-0.000353149,9
0,13,retail,-0.0004578,10
0,13,caz,-0.000655476,11
0,13,community_bldg,-0.000725317,12
0,13,industry,-0.000899381,13
0,13,leisure_recreational_bldg,-0.001126499,14
0,13,offices,-0.001325003,15
0,14,instit_communal_accom,0.003090626,1
0,14,btwn_centrality,0.002809749,2
0,14,storage_and_warehousing,0.002116634,3
0,14,pop_density,0.001954101,4
0,14,deg_centrality,0.00178644,5
0,14,retail,0.001780307,6
0,14,offices,0.001359282,7
0,14,inner,0.000804349,8
0,14,jobs_density,0.00072469,9
0,14,caz,0.000671669,10
0,14,residential,0.000268745,11
0,14,industry,0.000138177,12
0,14,leisure_recreational_bldg,7.50E-05,13
0,14,community_bldg,-0.001041906,14
0,14,naptan_density,-0.001130819,15
0,15,deg_centrality,0.002961723,1
0,15,btwn_centrality,0.002044846,2
0,15,instit_communal_accom,0.001798321,3
0,15,naptan_density,0.00147568,4
0,15,jobs_density,0.001298432,5
0,15,inner,0.001023065,6
0,15,offices,0.001014868,7
0,15,leisure_recreational_bldg,0.00042211,8
0,15,caz,0.000363073,9
0,15,retail,0.000327164,10
0,15,community_bldg,0.000161454,11
0,15,industry,-0.000165149,12
0,15,storage_and_warehousing,-0.000395583,13
0,15,pop_density,-0.000508726,14
0,15,residential,-0.000574131,15
0,16,naptan_density,0.002306595,1
0,16,pop_density,0.001006786,2
0,16,instit_communal_accom,0.000978614,3
