r2_mean,mse_mean,feature_rm
0.352502977,0.00434861,leisure_recreational_bldg
0.343499523,0.004115604,caz
0.336672441,0.004262079,naptan_density
0.367323521,0.004026386,deg_centrality
0.361460429,0.004247595,offices
0.372827837,0.004039331,instit_communal_accom
0.336121541,0.00422083,storage_and_warehousing
0.362627395,0.004148129,retail
0.343671557,0.004412887,community_bldg
0.363927787,0.004022244,industry
0.367796696,0.003946549,btwn_centrality
0.369046476,0.00406464,inner
0.355568516,0.003878976,residential
0.348016056,0.004218733,jobs_density
