r2_mean,mse_mean,feature_rm
0.354523297,0.006201713,industry
0.320259917,0.006235752,leisure_recreational_bldg
0.313943259,0.006429834,residential
0.341840867,0.006301757,community_bldg
0.345214621,0.006157222,naptan_density
0.321914784,0.006549616,inner
0.380929852,0.006210219,storage_and_warehousing
0.36231444,0.005996541,deg_centrality
0.309155615,0.0062855,caz
0.333355385,0.006297046,offices
0.367670427,0.005966605,pop_density
0.335938312,0.006475132,retail
0.294077445,0.00696919,btwn_centrality
0.227067651,0.007337853,instit_communal_accom
