num_features_rm,r2,mse
0,0.306228154,0.005385201
0,0.296792925,0.005216881
0,0.360198709,0.004741783
0,0.281474867,0.005477785
0,0.400046188,0.004797816
0,0.502288076,0.003540518
0,0.288907718,0.007522958
0,0.477614073,0.00339028
0,0.400103111,0.004535317
0,0.387665837,0.00557587
0,0.350026292,0.004946967
0,0.426029908,0.003747473
0,0.324549444,0.004127364
0,0.416525223,0.003126735
0,0.460925958,0.002981907
0,0.440832545,0.003299155
0,0.369588653,0.0056038
0,0.402499654,0.00473839
0,0.414944992,0.003404631
0,0.349534992,0.005373077
0,0.135389678,0.004791971
0,0.410271676,0.005998107
0,0.408861588,0.003646219
0,0.416780418,0.003048625
0,0.16786868,0.003850611
0,0.333992774,0.005069277
0,0.326506955,0.002423427
0,0.443914985,0.003916845
0,0.35362761,0.005611882
0,0.297970627,0.002705604
0,0.408318469,0.00350662
0,0.367720768,0.004157436
0,0.241647005,0.005435432
0,0.466210258,0.003118068
0,0.23742946,0.002025556
0,0.237891175,0.002986853
0,0.391700623,0.003502086
0,0.415409134,0.004648052
0,0.271634179,0.002700527
0,0.296753829,0.008066579
0,0.292497703,0.003500659
0,0.426958151,0.004333151
0,0.333744607,0.00414933
0,0.388610057,0.005351705
0,0.243892614,0.00450722
0,0.200955977,0.004098027
0,0.383235604,0.004467286
0,0.360086239,0.005129974
0,0.405777253,0.005230953
0,0.302713433,0.003918489
1,0.392968779,0.003196687
1,0.362964586,0.006420644
1,0.217286909,0.006557027
1,0.05096325,0.005404788
1,0.33249748,0.002740066
1,0.197993392,0.005498198
1,0.366919303,0.005438335
1,0.35314663,0.004793172
1,0.220819692,0.003915814
1,0.243359537,0.002616544
1,0.396840733,0.00305905
1,0.463694495,0.004058543
1,0.4338494,0.003464069
1,0.452474519,0.003611791
1,0.481434662,0.003835991
1,0.410120907,0.004056712
1,0.233432384,0.005276591
1,0.339116028,0.004228004
1,0.334478109,0.005597497
1,0.322194877,0.004801845
1,0.494255702,0.002719683
1,0.339519255,0.004860062
1,0.289418104,0.002592265
1,0.417024592,0.004179927
1,0.332881843,0.005149508
1,0.321420524,0.003987058
1,0.25613419,0.006410084
1,0.449214768,0.003581664
1,0.437789217,0.004152023
1,0.316970105,0.004981504
1,-0.021974932,0.00444458
1,0.536781634,0.002498357
1,0.203927446,0.004084271
1,0.25014809,0.00375052
1,0.173710251,0.003088109
1,0.292651964,0.005480884
1,0.44715915,0.003372105
1,0.332294772,0.002601742
1,0.448855685,0.00339792
1,0.372312329,0.005672573
1,0.385902656,0.002004855
1,0.413672479,0.003626214
1,0.471037082,0.003733301
1,0.41040589,0.003752338
1,0.400900515,0.004646438
1,0.384357969,0.002748924
1,0.076677919,0.004543469
1,0.426228145,0.00470073
1,0.526093135,0.002871656
1,0.382650001,0.003576088
2,0.429582428,0.003534925
2,0.391796134,0.00411438
2,0.18491011,0.005378559
2,0.219507332,0.004200597
2,0.47837878,0.002411692
2,0.235272796,0.005167631
2,0.40893095,0.004413954
2,0.465095884,0.002758838
2,0.338212402,0.00507666
2,0.227109493,0.00546779
2,0.055613766,0.002614554
2,0.434343748,0.005249926
2,0.480249438,0.004117624
2,0.448152459,0.003339976
2,0.489670353,0.003164764
2,0.323741116,0.004966097
2,0.32956857,0.005461076
2,0.134048128,0.003671667
2,0.370219201,0.006003004
2,0.318923064,0.006003806
2,0.406279126,0.004667096
2,0.200779219,0.006041026
2,0.217241228,0.002412214
2,0.406572491,0.003445045
2,0.380872319,0.004688705
2,0.263744922,0.004483172
2,0.438392563,0.002823596
