,sim_0,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10,sim_11,sim_12,sim_13,sim_14,sim_15,sim_16,sim_17,sim_18,sim_19,sim_20,sim_21,sim_22,sim_23,sim_24,sim_25,sim_26,sim_27,sim_28,sim_29,sim_30,sim_31,sim_32,sim_33,sim_34,sim_35,sim_36,sim_37,sim_38,sim_39,sim_40,sim_41,sim_42,sim_43,sim_44,sim_45,sim_46,sim_47,sim_48,sim_49,sim_50,sim_51,sim_52,sim_53,sim_54,sim_55,sim_56,sim_57,sim_58,sim_59,sim_60,sim_61,sim_62,sim_63,sim_64,sim_65,sim_66,sim_67,sim_68,sim_69,sim_70,sim_71,sim_72,sim_73,sim_74,sim_75,sim_76,sim_77,sim_78,sim_79,sim_80,sim_81,sim_82,sim_83,sim_84,sim_85,sim_86,sim_87,sim_88,sim_89,sim_90,sim_91,sim_92,sim_93,sim_94,sim_95,sim_96,sim_97,sim_98,sim_99
indicator_0,0.09401141173043644,0.10232518291324685,0.10812357567553674,0.08538236150854167,0.08987166086941625,0.09520398896523365,0.0956837614160141,0.08693134113534726,0.08893267764431725,0.09327804526995769,0.0893781806343277,0.10360686074604618,0.08835009681122667,0.10052946316889703,0.09492297938691933,0.09419646681859457,0.09334658419149773,0.09002930038895839,0.08937132674217371,0.065026301811141,0.07732218433542949,0.08911773273247547,0.08467641061667898,0.08882301536985317,0.08714381179212145,0.09311355185826152,0.08636246808656467,0.10253079967786709,0.08605404293963431,0.08290125254879115,0.09122187762375561,0.08841178184061274,0.08037902023611655,0.08025565017734446,0.08767841538013398,0.07151693768098556,0.08632134473364064,0.09061873511420303,0.10399067870667052,0.08958379739894792,0.0891520021932455,0.08946728123232982,0.10087215777659737,0.09252411713301692,0.09012525487911445,0.0830588920683333,0.08080396154966502,0.08344956392111169,0.08301776871540927,0.09014581655557652,0.09163996504515003,0.09840475660115486,0.08707527287058138,0.08758931478213192,0.08570449443978001,0.08411439146005038,0.09192097462346428,0.09848700330700295,0.09358647041688802,0.08856942136015492,0.08164013639245386,0.08763729202720995,0.08096845496136117,0.09462140813214306,0.09933003204194583,0.10224979009955282,0.09176333510392218,0.08159901303952985,0.08329877829372354,0.07519062387553332,0.09644454344510887,0.08543719264577375,0.08778122376244411,0.09220883809393259,0.08333990164664759,0.08906975548739744,0.08719864292935352,0.09004300817326638,0.08463528726375491,0.07939205976593958,0.09288737341717929,0.08353866451911378,0.08692448724319322,0.0956837614160141,0.08285327530371309,0.08225013279416053,0.08915200219324551,0.07923442024639742,0.09201692911362036,0.08481348845975908,0.08298349925463927,0.07001593529925805,0.07749353163927965,0.0845187710971368,0.08022823460872842,0.08529326091053958,0.09224310755470264,0.09745206559174789,0.09541645962200787,0.08165384417676186
indicator_1,0.0811877795102894,0.09799352307191449,0.09803464642483849,0.09037199499665872,0.09967272664964617,0.08427888487174656,0.08914514830109149,0.08588954952793819,0.0757663508164699,0.09439522969106084,0.08740425969397374,0.09761655900344407,0.10275697811894932,0.07942632922670961,0.08487517348914515,0.09360017820119598,0.08113980226521135,0.0839498980483542,0.09939857096348587,0.08837751237984266,0.10346292901081203,0.09233906204485874,0.08909031716385944,0.09490241771045732,0.0784188070800706,0.08436798546974865,0.08941245009509781,0.10654032658796117,0.08693134113534724,0.09697914703312145,0.10194136495262249,0.09470365483799116,0.07827487534483643,0.09117390037867755,0.07744555439420162,0.07886431007008105,0.09381950275012423,0.08975514470279808,0.09622521889618067,0.09309984407395351,0.09174962731961414,0.08959750518325596,0.09108479978067548,0.09085862133959319,0.08712325011565944,0.09799352307191447,0.08527955312623159,0.09773992906221621,0.09724644882712769,0.08852829800723089,0.09005671595757443,0.08285327530371311,0.08758931478213192,0.09121502373160159,0.08939874231078972,0.09128356265314164,0.08340844056818766,0.0816675519610699,0.08583471839070611,0.09896677575778345,0.08606089683178832,0.10469662959853326,0.09238703928993676,0.09235962372132074,0.08770583094875001,0.08505337468514934,0.08120834118675142,0.09059131954558695,0.09028289439865665,0.09240760096639881,0.08644471479241275,0.09429927520090473,0.07720566816881136,0.0766505029043368,0.09285995784856325,0.07742499271773959,0.08587584174363015,0.08498483576360925,0.08283956751940508,0.10293517931495351,0.08805537944860434,0.08064632203012287,0.08752077586059184,0.07464231250321278,0.08950840458525389,0.1001113757475026,0.08943986566371377,0.0976097051112901,0.09634173506279882,0.09576600812186221,0.08482719624406712,0.09109165367282948,0.08871335309538904,0.08891211596785527,0.09503264166138345,0.09158513390791796,0.100515755384589,0.09065985846712703,0.07700005140419117,0.10622504754887681
indicator_2,0.09274344168194511,0.0881856033995305,0.10024845359058276,0.08508764414591942,0.09083805966313122,0.07909048851116325,0.09347680814242387,0.08848032076215281,0.08941245009509771,0.09198265965285037,0.08094789328489915,0.10258563081509915,0.08758931478213192,0.10162608591353813,0.08322338548002949,0.09364815544627404,0.08406641421497235,0.08832268124261064,0.09561522249447403,0.09510118058292354,0.10468292181422527,0.09088603690820925,0.08412124535220439,0.09034457942804267,0.08410068367574237,0.08328507050941555,0.08466955672452493,0.08410068367574236,0.09296962012302734,0.08945357344802177,0.0954233135141619,0.08222271722554446,0.08524528366546155,0.08095474717705317,0.0819691232158462,0.09136580935898973,0.0898236836243382,0.077829372354826,0.09340141532872984,0.09829509432669079,0.09379208718150821,0.09116019259436949,0.09430612909305873,0.08961806685971796,0.08844605130138278,0.08336046332310963,0.08802110998783437,0.08554000102808382,0.10157810866846011,0.08323023937218349,0.09514915782800158,0.08455989445006086,0.09918610030671166,0.09424444406367266,0.09049536505543085,0.08944671955586782,0.09168794229022804,0.09301074347595141,0.08988536865372428,0.09740408834666985,0.09926149312040573,0.08723291239012353,0.09174962731961414,0.0990078991107075,0.09196209797638838,0.08397731361697024,0.09115333870221552,0.09088603690820926,0.09992632065934445,0.0814002501670636,0.08732886688027966,0.08449135552852076,0.10033755418858484,0.09788386079745034,0.09806206199345453,0.07647915560048661,0.10506673977484968,0.0883775123798427,0.0890629015952434,0.09266119497609704,0.09099569918267335,0.0859992118024023,0.08770583094875001,0.09753431229759602,0.08397731361697024,0.09206490635869845,0.09397714226966639,0.08660920820410892,0.08783605489967618,0.08261338907832283,0.08643100700810472,0.09242816264286084,0.09178389678038414,0.09587567039632629,0.0865817926354929,0.09987834341426635,0.10346978290296599,0.09370984047566011,0.09046109559466083,0.07875464779561692
indicator_3,0.09011154709480647,0.0798923938931821,0.09696543924881343,0.08920683333047753,0.08947413512448381,0.08449135552852076,0.08019396514795842,0.09998115179657649,0.09501207998492142,0.0900293003889584,0.08436798546974861,0.09170850396669011,0.08026935796165247,0.08924110279124763,0.08322338548002953,0.08337417110741764,0.08735628244889564,0.09784273744452633,0.08824043453676259,0.10003598293380858,0.08477236510683504,0.08656808485118486,0.09506005722999952,0.07320299515087127,0.08438169325405662,0.08792515549767822,0.09141378660406779,0.08190058429430613,0.07721937595311937,0.08850088243861486,0.08178406812768801,0.09259265605455697,0.08621168245917654,0.07673274961018488,0.08510135193022737,0.0956769075238601,0.08892582375216325,0.09658162128818902,0.10990558763557856,0.07846678432514863,0.090646150682819,0.09000188482034234,0.07582118195370195,0.09528623567108171,0.09111221534929148,0.0982471170816127,0.08151676633368177,0.10538887270608795,0.08933020338924967,0.09343568478949985,0.08194856153938418,0.0813659807062936,0.08680111718442111,0.1009886739432155,0.08374428128373401,0.090673566251435,0.10332585116773188,0.0872877435273556,0.09568376141601413,0.09587567039632629,0.0871780812528915,0.08806223334075841,0.09828824043453678,0.07547163345384758,0.07571151967923782,0.09680779972927125,0.0790973424033173,0.09120131594729355,0.07984441664810402,0.0860677507239424,0.10342180565788796,0.08621853635133053,0.0842377615188225,0.08704785730196533,0.09032401775158069,0.08544404653792774,0.07920700467778138,0.07944003701101765,0.09334658419149776,0.08211305495108036,0.09070783571220507,0.08291496033309914,0.0826476585390929,0.08354551841126784,0.08570449443978,0.09314782131903158,0.08388135912681413,0.09651308236664898,0.08694504891965525,0.08132485735336954,0.09039941056527477,0.10191394938400647,0.07780195678620998,0.09172906564315213,0.08763043813505594,0.08456674834221482,0.1002210380219667,0.09845273384623295,0.0840389986463563,0.0903377255358887
indicator_4,0.09319579856410962,0.10159867034492209,0.08804167166429638,0.07873408611915492,0.08254485015678281,0.080769692088895,0.0990147530028615,0.09858981168931308,0.09094772193759533,0.07922071246208942,0.1019619266290845,0.08874762255615905,0.0893370572814037,0.09346310035811585,0.0932917530542657,0.09729442607220573,0.08147564298075768,0.09960418772810609,0.08376484296019603,0.0901732321241925,0.09292849677010333,0.09440208358321482,0.08610887407686642,0.09882969791470332,0.08758931478213192,0.08303147649971727,0.09806891588560857,0.08821987286030056,0.09124929319237161,0.0799883483833382,0.0882335806446086,0.07030379876972635,0.09043368002604478,0.10063912544336114,0.0948133171124552,0.09866520450300717,0.08813077226229844,0.0806737375987389,0.08752762975274586,0.09124243930021762,0.0840389986463563,0.07993351724610617,0.09517657339661761,0.08506708246945734,0.08769897705659602,0.1009749661589075,0.09019379380065452,0.10601257689210265,0.08887099261493117,0.08120834118675141,0.09039941056527477,0.09447747639690891,0.08821301896814658,0.08506022857730333,0.08009801065780231,0.08677370161580508,0.08765099981151796,0.08373742739158001,0.09597847877863643,0.08745223693905176,0.09745206559174792,0.08799369441921831,0.08594438066517023,0.07061222391665666,0.099521941022258,0.08708212676273537,0.08514247528315144,0.09314782131903156,0.08279844416648106,0.08145508130429571,0.09374410993643018,0.07996093281472216,0.08533438426346364,0.08099587052997721,0.08729459741950957,0.08362091122496186,0.07787734959990407,0.0930107434759514,0.08017340347149639,0.08105070166720928,0.08371001182296398,0.08234608728431661,0.08822672675245455,0.0929696201230274,0.08331248607803157,0.09166738061376604,0.07828858312914447,0.07377186819965385,0.08401843696989429,0.09095457582974929,0.08600606569455631,0.10139990747245593,0.09684206919004132,0.08558797827316189,0.09367557101489006,0.08713010400781344,0.09314096742687754,0.0776237555902058,0.08539606929284967,0.0949709566319974
indicator_5,0.09064615068281903,0.09736296499374583,0.09316838299549358,0.09154401055499392,0.08360720344065384,0.08598550401809431,0.08871335309538904,0.09458028477921898,0.08977570637926008,0.09425815184798066,0.09413478178920852,0.07885060228577304,0.09464882370075908,0.09987834341426638,0.08908346327170541,0.086698308802111,0.09933688593409984,0.08162642860814585,0.09185243570192425,0.07923442024639746,0.09407309675982248,0.08736999023320367,0.09036514110450468,0.08592381898870823,0.08630078305717857,0.10767807268552627,0.0940045578382824,0.08998817703603436,0.09029660218296466,0.08142081184352565,0.09296276623087336,0.09733554942512977,0.09216771474100856,0.08192799986292218,0.08847346686999878,0.0850191052243793,0.1088363804595535,0.09325062970134165,0.09015267044773051,0.09011840098696047,0.08412124535220437,0.08652010760610686,0.0942787135244427,0.08976199859495208,0.08076969208889502,0.09272288000548311,0.08710268843919743,0.08599235791024828,0.0929901817994894,0.09014581655557649,0.09670499134696116,0.09196209797638837,0.10508044755915766,0.09290793509364133,0.09437466801459882,0.0855262932437758,0.08465584894021694,0.07625297715940439,0.08192799986292218,0.09998800568873047,0.08570449443977997,0.09224310755470265,0.08806908723291237,0.08442967049913468,0.0807217148438169,0.09410051232843851,0.07612275320847826,0.09115333870221548,0.0934356847894998,0.09439522969106078,0.08025565017734447,0.07994037113826014,0.08622539024348452,0.0850396669008413,0.08688336389026918,0.07833656037422251,0.09095457582974929,0.0784050992957626,0.09021435547711658,0.0840595603228183,0.09366871712273606,0.09557409914155003,0.08162642860814584,0.07771971008036188,0.09179075067253818,0.0802762118538065,0.0937098404756601,0.10301057212864755,0.10167406315861624,0.09364130155412004,0.09743835780743991,0.07717139870804135,0.07619814602217231,0.08597179623378626,0.09747262726820996,0.0839361902640462,0.08689021778242319,0.08525899144976953,0.09174962731961413,0.09355220095611798
indicator_6,0.08465584894021694,0.09197580576069639,0.08695190281180926,0.08562224773393187,0.09175648121176815,0.09208546803516048,0.07832285258991448,0.08102328609859323,0.0890423399187814,0.08826785010537859,0.09858981168931309,0.07998149449118418,0.07738386936481553,0.09512859615153954,0.08028991963811452,0.08593067288086222,0.08333990164664758,0.07972790048148591,0.1011737290313737,0.08429259265605456,0.08439540103836467,0.10259933859940715,0.09320265245626358,0.10558763557855416,0.09431983687736674,0.08584842617501415,0.09572488476893817,0.08762358424290194,0.09172221175099811,0.08619797467486849,0.09609499494525454,0.10997412655711862,0.09647195901372495,0.08512876749884339,0.0944637686126009,0.09128356265314162,0.08538921540069568,0.08400472918558627,0.08686965610596119,0.09911756138517161,0.07883004060931102,0.09973441167903224,0.08860369082092492,0.0854029231850037,0.09011154709480647,0.09573859255324617,0.08885043093846919,0.0905570500848169,0.07860386216822877,0.08998817703603433,0.08971402134987404,0.08651325371395283,0.09687633865081131,0.0944843302890629,0.09022806326142462,0.09109165367282948,0.09491612549476534,0.09849385719915697,0.09845273384623293,0.09449118418121691,0.10444988948098902,0.08788403214475421,0.08811706447799045,0.09807576977776257,0.0905159267318929,0.09649252069018692,0.08600606569455628,0.10089271945305939,0.089666044104796,0.09196895186854236,0.0875139219684378,0.0883432429190727,0.09649937458234094,0.08039958191257862,0.08578674114562809,0.08095474717705317,0.08501225133222527,0.08273675913709501,0.08952211236956191,0.09520398896523365,0.10096811226675349,0.08400472918558627,0.0899401997909563,0.08037216634396258,0.09034457942804272,0.07336063467041345,0.08771953873305803,0.07947430647178765,0.07911790407977935,0.08719864292935353,0.09601274823940649,0.09344939257380787,0.08758931478213189,0.09022806326142459,0.07550590291461763,0.09583454704340227,0.09309984407395352,0.09086547523174722,0.07991295556964416,0.08042699748119461
indicator_7,0.10205102722708662,0.09003615428111239,0.08251743458816675,0.08926851835986359,0.08793886328198626,0.08869279141892704,0.11048131457651512,0.0899539075752643,0.09889138294408939,0.08658179263549289,0.0839498980483542,0.08318911601925942,0.07795959630575214,0.09402511951474443,0.09221569198608659,0.08816504172306848,0.08752077586059182,0.0889738009972413,0.09317523688764758,0.08710954233135149,0.088679083634619,0.09805520810130054,0.09949452545364197,0.08482034235191312,0.07906992683470128,0.07767173283528382,0.07863127773684479,0.08346327170541971,0.09776049073867822,0.08199653878446221,0.08702729562550332,0.0936618632305821,0.08273675913709498,0.09157142612360995,0.09125614708452563,0.08927537225201763,0.08848032076215279,0.08754819142920785,0.0884666129778448,0.08772639262521208,0.08677370161580507,0.08796627885060226,0.07964565377563787,0.08717808125289149,0.0958825242884803,0.07405287777796817,0.08849402854646085,0.0856428094103939,0.09168794229022803,0.08427203097959254,0.10568359006871031,0.08312057709771939,0.10052260927674307,0.0971436404448176,0.08037216634396258,0.08557427048885387,0.11501173729031378,0.07957026096194376,0.08110553280444131,0.08706841897842738,0.09185928959407824,0.08034475077534654,0.08829526567399462,0.08599235791024827,0.098521272767773,0.09454601531844899,0.08645156868456678,0.0986240811500831,0.07561556518908173,0.07893970288377511,0.08728774352735558,0.07360737478795772,0.08279844416648102,0.1054985349805521,0.09959047994379808,0.08592381898870827,0.08349754116618975,0.08277102859786502,0.07909734240331728,0.09619094943541061,0.09690375421942737,0.09976182724764823,0.0814687890886037,0.09506691112215353,0.09065985846712706,0.08861054471307893,0.07856959270745875,0.08025565017734446,0.09819913983653468,0.08712325011565944,0.09046109559466083,0.09646510512157093,0.09422388238721062,0.08150991244152773,0.08549202378300576,0.08754819142920789,0.08880245369339114,0.09616353386679458,0.08643786090025873,0.08717122736073749
ses_0,0.08459416391083088,0.08466955672452493,0.09087918301605528,0.10141361525676394,0.09368242490704413,0.09665016020972911,0.09861722725792911,0.08984424530080025,0.10180428710954234,0.09517657339661761,0.08789088603690826,0.09026233272219462,0.08201024656877025,0.09007727763403642,0.10599201521564057,0.08159215914737582,0.09487500214184127,0.08365518068573191,0.09795925361114444,0.08465584894021694,0.08920683333047752,0.09151659498637793,0.09079008241805314,0.08135227292198557,0.07905621905039323,0.0809753088535152,0.08682167886088311,0.09077637463374516,0.09220883809393261,0.08942615787940578,0.08712325011565941,0.10139305358030189,0.09132468600606569,0.0899470536831103,0.09286681174071727,0.10471033738284127,0.08373057349942602,0.08519045252822946,0.08322338548002949,0.07443669573859255,0.07760319391374379,0.08693819502750125,0.08347697948972774,0.08159901303952982,0.06891245866246294,0.08179777591199605,0.08714381179212144,0.09288737341717929,0.0799061016774901,0.08840492794845872,0.09101626085913542,0.09275029557409917,0.09268175665255911,0.08454618666575282,0.10434708109867896,0.08686280221380718,0.08567022497901002,0.10261304638371516,0.09915868473809565,0.08544404653792777,0.09916553863024964,0.10941210740049007,0.09354534706396395,0.09394287280889636,0.08251058069601276,0.09229793869193466,0.09675982248419324,0.09213344528023854,0.09341512311303783,0.08029677353026847,0.08623224413563854,0.08604033515532634,0.0871849351450455,0.09285310395640926,0.07704117475711521,0.09209917581946848,0.07303850173917512,0.07684241188464899,0.08255170404893682,0.07872037833484691,0.08915885608539952,0.08826785010537862,0.08630763694933256,0.09029660218296466,0.09896677575778347,0.09628005003341274,0.09667072188619111,0.11195490138962665,0.09377152550504618,0.08427888487174656,0.08219530165692843,0.0843268621168246,0.0950874727986155,0.09892565240485938,0.08911773273247547,0.08633505251794862,0.08532753037130959,0.0849231507342232,0.1040523637360566,0.08109867891228734
ses_1,0.08606089683178837,0.09078322852589915,0.08194170764723019,0.09349736981888591,0.09090659858467129,0.08458731001867689,0.09411422011274649,0.08643786090025875,0.0840595603228183,0.0969448775723514,0.0796113843148678,0.08837065848768867,0.08633505251794862,0.08920683333047759,0.0959579171021744,0.09426500574013469,0.08521786809684548,0.0856016860574699,0.08366888847003995,0.10325045835403782,0.09817857816007268,0.09263377940748102,0.09737667277805381,0.09009783931049846,0.08044755915765665,0.09191412073131029,0.08641729922379672,0.09746577337605596,0.08059834478504484,0.08952896626171587,0.08436798546974868,0.09943284042425594,0.09401141173043642,0.08073542262812494,0.08706841897842738,0.08566337108685597,0.0812700262161375,0.0791110501876253,0.09405253508336046,0.09191412073131032,0.09345624646596186,0.08858312914446291,0.08264080464693886,0.08973458302633608,0.09543016740631587,0.09549870632785597,0.0848546118126831,0.0882815578896866,0.08011857233426434,0.07592399033601206,0.08848032076215279,0.08238035674508662,0.09746577337605591,0.08211305495108037,0.09442949915183084,0.08009801065780231,0.07811038193314031,0.09838419492469286,0.09011154709480644,0.081790922019842,0.084703826185295,0.09119446205513959,0.1006802487962852,0.08547831599869776,0.089611212967564,0.08105755555936324,0.09754116618974998,0.09461455423998906,0.091619403368688,0.09468309316152913,0.08909717105601342,0.1086307636949333,0.0923253542605507,0.09181131234900021,0.08062576035366083,0.08496427408714725,0.0813796884906016,0.07340175802333751,0.08704785730196535,0.09240074707424481,0.09975497335549427,0.08781549322321412,0.07671218793372286,0.1030516954815716,0.08782920100752215,0.07861756995253678,0.08974829081064412,0.08888470039923924,0.0776169016980518,0.10011137574750262,0.09720532547420369,0.08898065488939533,0.09279827281917719,0.0796113843148678,0.08032418909888454,0.09736981888589982,0.09302445126025945,0.07611589931632425,0.08997446925172631,0.07969363102071592
