StationName,gini,G_T,gamma
Acton Town,0.5160393210018382,0.47691320082720584,0.9241799634596197
Aldgate,0.6084018267121681,0.5746980045734422,0.9446026940437326
Aldgate East,0.5659364763795403,0.5202679547461978,0.9193045093585464
Alperton,0.6099203722879951,0.5559402738183521,0.9114964822913729
Amersham,0.7642415846032874,0.5443031304041526,0.7122134431963639
Angel,0.5205331569250449,0.4842460254343512,0.9302885301196694
Archway,0.5163280938980027,0.4936997734916604,0.9561745319037155
Arnos Grove,0.4480428020197672,0.41725722785473884,0.9312887652111637
Arsenal,0.6915451391171867,0.5917083864810895,0.8556323412763093
Baker Street,0.4914109431144951,0.4664210944666295,0.9491467396116916
Balham LU,0.5405855669430231,0.5110342480956407,0.9453346136958609
Bank and Monument,0.5904195314852559,0.5763032225506378,0.9760910535952169
Barbican,0.6329803570509975,0.5732663765055316,0.905662190176535
Barking,0.4777338240216891,0.4520084978029454,0.9461513400868685
Barkingside,0.65719709705927,0.5044707548657583,0.7676095301137067
Barons Court,0.5644915491847241,0.4993926755475978,0.8846769739402718
Bayswater,0.4347672133369477,0.40356804011927344,0.9282393606035452
Becontree,0.4776458415576269,0.44042015961399117,0.9220642603686428
Belsize Park,0.5930676946292381,0.5689523053039115,0.9593378807449584
Bermondsey,0.496972636495347,0.47822727290478034,0.9622808939285691
Bethnal Green LU,0.4109307720871976,0.39720805623814853,0.9666057721125417
Blackfriars LU,0.6771191368930586,0.6427374155246469,0.9492235273010136
Blackhorse Road,0.5130117439076755,0.4955762067537049,0.9660133761828494
Bond Street,0.45724464745838206,0.43859534550036827,0.9592137336944743
Borough,0.7038047603697656,0.6367406452298672,0.9047120466979164
Boston Manor,0.6214236821829751,0.5231686468504992,0.8418872048980826
Bounds Green,0.46554334552515636,0.44303213285896825,0.9516452917165118
Bow Road,0.6631230639175517,0.5827282023659696,0.8787632855406491
Brent Cross,0.6102454835747707,0.48140275519977793,0.7888673790418864
Brixton LU,0.430098127405662,0.4156705430494013,0.9664551332894951
Bromley-by-Bow,0.6087480425181048,0.5615355606547734,0.9224433122313864
Buckhurst Hill,0.6357942754792123,0.5718117311616051,0.8993659635117316
Burnt Oak,0.5417817337647158,0.4987430724910358,0.9205608853317842
Caledonian Road,0.5198375415932668,0.48950813443404384,0.9416559891648738
Camden Town,0.47066932927511923,0.45359758864188066,0.9637288015781039
Canada Water,0.4197652670402294,0.40158334880263696,0.9566855105335575
Canary Wharf LU,0.4979326658307643,0.482003462431991,0.9680093223604911
Canning Town,0.4014244956443451,0.3796924793629457,0.9458627549708536
Cannon Street LU,0.7191320548977543,0.6885955234166817,0.9575369624075313
Canons Park,0.5844262038062581,0.5190054974788474,0.8880599365645518
Chalfont & Latimer,0.8191384242727976,0.5160859487564994,0.6300350874330702
Chalk Farm,0.5708810905177827,0.5138565481968947,0.9001113484610826
Chancery Lane,0.6238885200244384,0.5744684433455172,0.9207870074657162
Charing Cross LU,0.48113434524444015,0.4021630952569949,0.8358644508171124
Chesham,0.8205207031863968,0.5310943398236974,0.647265008379745
Chigwell,0.8762724303695276,0.6329052144875418,0.7222699157848012
Chiswick Park,0.6590040109015178,0.6218168348921194,0.943570637819751
Chorleywood,0.8053001405340294,0.46150572174262183,0.5730853609892299
Clapham Common,0.5214172889204022,0.49676806589043,0.9527264945874568
Clapham North,0.5946772130142497,0.5540417555482873,0.9316680434752278
Clapham South,0.6078789922635363,0.5814106530709401,0.9564578813720195
Cockfosters,0.43583546185810673,0.31072395257519714,0.7129386655470416
Colindale,0.4970835447068817,0.47797559048382876,0.9615598737344636
Colliers Wood,0.5146480421540498,0.48528004178447626,0.942935758102461
Covent Garden,0.4725288371076117,0.44336729014752385,0.9382862067454166
Croxley,0.8148324384767077,0.5618551031136148,0.6895345307606768
Dagenham East,0.5339896236976761,0.48392607941810806,0.9062462226645961
Dagenham Heathway,0.446574439394696,0.40631556063468194,0.9098495677124233
Debden,0.6051180163328066,0.5509134385461502,0.9104231301603741
Dollis Hill,0.520135312515944,0.4890895007568039,0.9403120476305126
Ealing Broadway,0.4818915825397208,0.46606335774632596,0.9671539712107543
Ealing Common,0.6331513536678528,0.5972091036653447,0.9432327676561154
Earl's Court,0.4682944381814654,0.44207006058046777,0.944000236896182
East Acton,0.5677439259849367,0.5458859579126163,0.9615003048524021
East Finchley,0.5971183078897074,0.5598016501371121,0.9375054201830167
East Ham,0.4941832683359722,0.44249824486105116,0.8954132468932906
East Putney,0.6396157834398056,0.5858652881847244,0.9159644013691859
Eastcote,0.5415705770751891,0.49339802392824283,0.9110502763885229
Edgware,0.4708195452533836,0.43979956519262525,0.9341149271021361
Edgware Road,0.546473198710638,0.5159801189252916,0.9442002281954677
Elephant & Castle LU,0.4440147236932722,0.4248754077621066,0.9568948620172624
Elm Park,0.6072613907347159,0.542725701050643,0.8937266708064674
Embankment,0.4804232724968167,0.43023330278027744,0.8955296868619705
Epping,0.5732029042089135,0.5211199138606745,0.9091369042867645
Euston LU,0.4315546564431017,0.4072917191432258,0.9437778345393086
Euston Square,0.5465184215675029,0.5276854244393018,0.9655400506460788
Fairlop,0.5708433581798209,0.4221947831455471,0.7395983102820859
Farringdon,0.6672619882564974,0.6211002923409579,0.9308192333326878
Finchley Central,0.5830456315414493,0.5467966625990909,0.9378282470850116
Finchley Road,0.5587132645151032,0.5303670085748162,0.9492651101367924
Finsbury Park,0.44674946030813517,0.432644310607108,0.9684271589465414
