Timeslot,NumberOfJourneys
slot_1,0.09523809523809523
slot_2,11.015873015873016
slot_3,94.90476190476191
slot_4,284.45238095238096
slot_5,329.1587301587301
slot_6,708.0555555555555
slot_7,1668.5873015873015
slot_8,2866.7619047619046
slot_9,3379.1190476190473
slot_10,4463.769841269842
slot_11,5975.928571428571
slot_12,7202.841269841269
slot_13,8520.484126984127
slot_14,10479.825396825398
slot_15,14069.341269841269
slot_16,16180.70634920635
slot_17,14704.285714285717
slot_18,10892.611111111111
slot_19,9436.301587301587
slot_20,7492.8650793650795
slot_21,6141.928571428571
slot_22,3934.2222222222226
slot_23,3696.3968253968255
slot_24,3790.563492063492
slot_25,3761.126984126984
slot_26,3078.785714285714
slot_27,3318.087301587302
slot_28,3579.857142857143
slot_29,3801.1825396825398
slot_30,3609.936507936508
slot_31,4144.476190476191
slot_32,4262.904761904762
slot_33,4402.0
slot_34,3978.8015873015875
slot_35,4284.587301587302
slot_36,4447.063492063492
slot_37,4514.119047619048
slot_38,4138.190476190475
slot_39,4573.246031746032
slot_40,4760.555555555555
slot_41,4917.0317460317465
slot_42,4709.849206349207
slot_43,5766.079365079365
slot_44,6044.769841269841
slot_45,6422.15873015873
slot_46,6384.555555555556
slot_47,8518.261904761905
slot_48,8336.86507936508
slot_49,9225.626984126984
slot_50,9298.650793650795
slot_51,14676.253968253968
slot_52,14765.460317460316
slot_53,16735.11904761905
slot_54,15727.166666666668
slot_55,16852.428571428572
slot_56,14695.198412698413
slot_57,11930.031746031746
slot_58,9358.261904761905
slot_59,8737.595238095239
slot_60,6684.071428571429
slot_61,5065.079365079366
slot_62,4132.992063492064
slot_63,3966.468253968254
slot_64,3387.436507936508
slot_65,2911.9920634920636
slot_66,2571.222222222222
slot_67,2812.6190476190477
slot_68,2525.936507936508
slot_69,2446.428571428571
slot_70,2545.5396825396824
slot_71,3210.3412698412703
slot_72,3385.8095238095234
slot_73,2653.4920634920636
slot_74,2243.396825396825
slot_75,2291.873015873016
slot_76,1894.1904761904761
slot_77,1316.1428571428573
slot_78,972.9206349206349
slot_79,1160.4126984126983
slot_80,811.468253968254
slot_81,270.9285714285714
slot_82,124.8888888888889
slot_83,92.82539682539684
slot_84,84.30952380952381
slot_85,64.80158730158729
slot_86,50.07142857142857
