Timeslot,NumberOfJourneys
slot_1,0.09523809523809523
slot_2,11.015873015873016
slot_3,95.11111111111111
slot_4,298.7936507936508
slot_5,416.3095238095238
slot_6,998.4047619047619
slot_7,1960.1825396825398
slot_8,3444.912698412699
slot_9,4714.349206349207
slot_10,7068.682539682539
slot_11,9608.492063492064
slot_12,11920.682539682539
slot_13,15086.24603174603
slot_14,19166.261904761905
slot_15,22836.71428571429
slot_16,26482.571428571428
slot_17,27919.73015873016
slot_18,28497.753968253972
slot_19,25972.65079365079
slot_20,19512.0
slot_21,16148.095238095239
slot_22,12280.9126984127
slot_23,9611.388888888889
slot_24,7767.095238095238
slot_25,7550.103174603175
slot_26,7232.309523809523
slot_27,6884.468253968254
slot_28,6812.333333333334
slot_29,7262.9682539682535
slot_30,7593.849206349207
slot_31,8017.396825396824
slot_32,8246.34126984127
slot_33,8627.571428571428
slot_34,8493.182539682539
slot_35,8575.015873015873
slot_36,8583.68253968254
slot_37,8862.174603174604
slot_38,8781.222222222223
slot_39,8886.460317460318
slot_40,9037.349206349207
slot_41,9488.325396825398
slot_42,9635.849206349207
slot_43,10586.436507936509
slot_44,11105.603174603173
slot_45,12111.20634920635
slot_46,12590.063492063491
slot_47,14680.825396825396
slot_48,15097.436507936509
slot_49,17055.21428571429
slot_50,17856.341269841272
slot_51,23452.420634920636
slot_52,25003.88888888889
slot_53,29699.22222222222
slot_54,30726.896825396823
slot_55,32621.85714285714
slot_56,30637.515873015873
slot_57,27995.43650793651
slot_58,24109.333333333332
slot_59,20804.380952380954
slot_60,16063.47619047619
slot_61,13018.174603174604
slot_62,10436.690476190475
slot_63,8857.944444444443
slot_64,7364.873015873016
slot_65,6501.960317460317
slot_66,5704.023809523809
slot_67,5533.150793650793
slot_68,5025.388888888889
slot_69,4965.182539682541
slot_70,4912.055555555556
slot_71,5562.214285714286
slot_72,5964.547619047618
slot_73,5569.603174603175
slot_74,5256.547619047619
slot_75,4882.436507936508
slot_76,4105.555555555556
slot_77,3400.3809523809523
slot_78,2703.912698412699
slot_79,2435.833333333333
slot_80,1833.8095238095239
slot_81,1251.7857142857144
slot_82,949.6031746031747
slot_83,491.3492063492063
slot_84,254.68253968253967
slot_85,164.9047619047619
slot_86,136.1904761904762
