,residential,instit_communal_accom,pop_density,retail,jobs_density,btwn_centrality
Acton Town,0.10541230212624118,0.0018432292843746402,6892.901620236322,0.011962055896637527,12252.574201434989,0.11310993787229534
Aldgate,0.1271116236574389,0.0029259983450204727,11821.242915299143,0.02055396035708217,205097.66067085686,0.0002914122210700157
Aldgate East,0.12903319316026163,0.0028335168114928338,14099.574177980961,0.017154162856694254,152530.8241745308,0.010971200324812446
Alperton,0.12464149770827644,0.0016690121244714987,7951.186671246746,0.009463046813058212,7080.355819025174,0.03188731420670583
Amersham,0.017045631621497002,0.00025853903204123133,2040.3276251539328,0.0007293232782699605,2178.4079952043185,0.0
Angel,0.19313276354225742,0.00275362265053901,18356.877857343774,0.013542292682233165,58557.794688482914,0.04327149139411495
Archway,0.17917098651785932,0.002306616548622565,13592.464533613123,0.01330682598600385,7042.339933329493,0.05899297154050006
Arnos Grove,0.08567608139637728,0.0007277995602310395,6294.395487763483,0.00489145196491999,2835.020496805761,0.02255444175596267
Arsenal,0.19504289364347696,0.002774109795570668,18403.424588013255,0.013235084792307415,10576.109580218881,0.0005761032377001959
Baker Street,0.16217151535364363,0.005344321680575447,13485.496428925517,0.024127243044640288,81971.76928453677,0.34100727993313495
Balham LU,0.1586724871391395,0.0010517693540409844,11206.64473059189,0.009362764460841605,5980.96659139441,0.037302684641087686
Bank and Monument,0.12045010309782277,0.0028444445148157046,4970.2491004269095,0.03373841191258114,329919.32506217295,0.2679535029820207
Barbican,0.1689643154881432,0.0031012733510416735,11518.811341336239,0.027031126385083645,257905.70326601676,0.04169680921106776
Barking,0.09174308228857753,0.0007874593171881453,11383.767482600333,0.00495601077580482,7802.00716170669,0.05899297154050006
Barkingside,0.10493791136439426,0.0010771090776427806,4556.905502387231,0.0054706768764581125,2594.3137920759596,0.011219610554211315
Barons Court,0.17434625592581973,0.002164755986240048,14373.723080740945,0.012561419878502612,28647.121352286093,0.1441316569643566
Bayswater,0.1732416670552153,0.005677557617471041,15771.203622815166,0.023695312487574748,28688.67545682631,0.07845085839382414
Becontree,0.08845536755038433,0.0007166729162110471,7474.945788428368,0.004605063532907556,1968.7570475526634,0.04459039059799516
Belsize Park,0.15228865693185492,0.0017407542420113105,16074.623003852435,0.015287220689477899,13557.999642060424,0.05182048623113262
Bermondsey,0.13883879410452127,0.0018474610522374768,16289.521938616734,0.01156618185296797,20364.54197086588,0.02293178937665636
Bethnal Green LU,0.13416151675308005,0.00265544237410351,18530.183361153762,0.012352931467028516,15968.118656121847,0.23891645954383556
Blackfriars LU,0.1414167295307982,0.0028562230447183395,6608.611342230037,0.024336882219469703,269349.17951756075,0.002138783269961977
Blackhorse Road,0.1256445056251605,0.0007225325539868147,7823.474638270087,0.00953901226447556,2991.3730443873287,0.007575757575757576
